country,central_bank,wikipedia_bank_url,source_type,source_label,role,governor_name,start_date,end_date,row_data
Cuba,Central Bank of Cuba,https://en.wikipedia.org/wiki/Central_Bank_of_Cuba,wikitable,No. Image Name Term | Presidents,President,Marta Sabina Wilson González,2020,2023,"{'No.': '11', 'Name': 'Marta Sabina Wilson González', 'Term': '2020–2023[15]'}"
Cuba,Central Bank of Cuba,https://en.wikipedia.org/wiki/Central_Bank_of_Cuba,wikitable,No. Image Name Term | Presidents,President,Joaquín Alonso Vázquez,15 February 2023,2 February 2024,"{'No.': '12', 'Name': 'Joaquín Alonso Vázquez', 'Term': '15 February 2023[16] – 2 February 2024'}"
Cuba,Central Bank of Cuba,https://en.wikipedia.org/wiki/Central_Bank_of_Cuba,wikitable,No. Image Name Term | Presidents,President,Juana Lilia Delgado Portal,2 February 2024,present,"{'No.': '13', 'Name': 'Juana Lilia Delgado Portal[17][18]', 'Term': '2 February 2024[19] – present'}"
Curaçao,Central Bank of Curaçao and Sint Maarten,https://en.wikipedia.org/wiki/Central_Bank_of_Cura%C3%A7ao_and_Sint_Maarten,infobox,President,President,Richard Doornbosch,,,{'President': 'Richard Doornbosch'}
Cyprus,European Central Bank ( Central Bank of Cyprus ),https://en.wikipedia.org/wiki/European_Central_Bank,infobox,Key people,,Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist),,,{'Key people': 'Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist)'}
Turkish Republic of Northern Cyprus *,Central Bank of the Turkish Republic of Northern Cyprus,https://en.wikipedia.org/wiki/Central_Bank_of_the_Turkish_Republic_of_Northern_Cyprus,wikitable,Name Took office Left office Notes | Chairmen,Chair,Demirhan Sayiner,1983,2001,"{'Name': 'Demirhan Sayiner', 'Took office': '1983', 'Left office': '2001', 'Notes': '[1][3]'}"
Turkish Republic of Northern Cyprus *,Central Bank of the Turkish Republic of Northern Cyprus,https://en.wikipedia.org/wiki/Central_Bank_of_the_Turkish_Republic_of_Northern_Cyprus,wikitable,Name Took office Left office Notes | Chairmen,Chair,Erdoğan Küçük,? - 2002,May 2007,"{'Name': 'Erdoğan Küçük', 'Took office': '? - 2002', 'Left office': 'May 2007', 'Notes': '[4]'}"
Turkish Republic of Northern Cyprus *,Central Bank of the Turkish Republic of Northern Cyprus,https://en.wikipedia.org/wiki/Central_Bank_of_the_Turkish_Republic_of_Northern_Cyprus,wikitable,Name Took office Left office Notes | Chairmen,Chair,Ahmet Tugay,May 2007,2011,"{'Name': 'Ahmet Tugay', 'Took office': 'May 2007', 'Left office': '2011', 'Notes': '[5][4]'}"
Turkish Republic of Northern Cyprus *,Central Bank of the Turkish Republic of Northern Cyprus,https://en.wikipedia.org/wiki/Central_Bank_of_the_Turkish_Republic_of_Northern_Cyprus,wikitable,Name Took office Left office Notes | Chairmen,Chair,Bilal San,2011,2016 - ?,"{'Name': 'Bilal San', 'Took office': '2011', 'Left office': '2016 -\xa0?', 'Notes': '[6][7]'}"
Turkish Republic of Northern Cyprus *,Central Bank of the Turkish Republic of Northern Cyprus,https://en.wikipedia.org/wiki/Central_Bank_of_the_Turkish_Republic_of_Northern_Cyprus,wikitable,Name Took office Left office Notes | Chairmen,Chair,Mehmet Emin Özcan,February 2017,June 2017,"{'Name': 'Mehmet Emin Özcan', 'Took office': 'February 2017', 'Left office': 'June 2017', 'Notes': '[8][9]'}"
Turkish Republic of Northern Cyprus *,Central Bank of the Turkish Republic of Northern Cyprus,https://en.wikipedia.org/wiki/Central_Bank_of_the_Turkish_Republic_of_Northern_Cyprus,wikitable,Name Took office Left office Notes | Chairmen,Chair,Rifat Günay,May 2018,Incumbent,"{'Name': 'Rifat Günay', 'Took office': 'May 2018', 'Left office': 'Incumbent', 'Notes': '[10]'}"
Czech Republic,Czech National Bank,https://en.wikipedia.org/wiki/Czech_National_Bank,infobox,Governor,Governor,Aleš Michl,,,{'Governor': 'Aleš Michl'}
Djibouti,Central Bank of Djibouti,https://en.wikipedia.org/wiki/Central_Bank_of_Djibouti,infobox,Governor,Governor,Ahmed Osman Ali,,,{'Governor': 'Ahmed Osman Ali'}
Dominica,Eastern Caribbean Central Bank,https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank,infobox,Governor,Governor,Timothy Antoine,,,{'Governor': 'Timothy Antoine'}
Dominican Republic,Central Bank of the Dominican Republic,https://en.wikipedia.org/wiki/Central_Bank_of_the_Dominican_Republic,infobox,Governor,Governor,Héctor Valdez Albizu,,,{'Governor': 'Héctor Valdez Albizu'}
Ecuador,Central Bank of Ecuador,https://en.wikipedia.org/wiki/Central_Bank_of_Ecuador,infobox,Key people,,Guillermo Avellán Solines,,,{'Key people': 'Guillermo Avellán Solines'}
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Sir Elwin Palmer,August 1898,January 1906,"{'Name': 'Sir Elwin Palmer', 'Took office': 'August 1898', 'Left office': 'January 1906'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Sir Frederick Rowlatt,June 1906,February 1921,"{'Name': 'Sir Frederick Rowlatt', 'Took office': 'June 1906', 'Left office': 'February 1921'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Sir Bertram Hornsby,March 1921,February 1931,"{'Name': 'Sir Bertram Hornsby', 'Took office': 'March 1921', 'Left office': 'February 1931'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Sir Edward Cook,March 1931,October 1940,"{'Name': 'Sir Edward Cook', 'Took office': 'March 1931', 'Left office': 'October 1940'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Sir Norman Nixon,October 1940,April 1946,"{'Name': 'Sir Norman Nixon', 'Took office': 'October 1940', 'Left office': 'April 1946'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Sir Frederick Leith-Ross,May 1946,April 1951,"{'Name': 'Sir Frederick Leith-Ross', 'Took office': 'May 1946', 'Left office': 'April 1951'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Ahmed Zaki Saad,May 1951,April 1952,"{'Name': 'Ahmed Zaki Saad', 'Took office': 'May 1951', 'Left office': 'April 1952'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Mohamed Fekry,May 1952,March 1955,"{'Name': 'Mohamed Fekry', 'Took office': 'May 1952', 'Left office': 'March 1955'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Ahmed Zaki Saad,March 1956,July 1957,"{'Name': 'Ahmed Zaki Saad', 'Took office': 'March 1956', 'Left office': 'July 1957'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Abd El-Gelil El Emary,November 1957,March 1960,"{'Name': 'Abd El-Gelil El Emary', 'Took office': 'November 1957', 'Left office': 'March 1960'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Abd El-Hakim El Refaie,March 1960,March 1964,"{'Name': 'Abd El-Hakim El Refaie', 'Took office': 'March 1960', 'Left office': 'March 1964'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Ahmed Zendo,March 1964,February 1967,"{'Name': 'Ahmed Zendo', 'Took office': 'March 1964', 'Left office': 'February 1967'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Ahmed Nazmy,February 1967,January 1971,"{'Name': 'Ahmed Nazmy', 'Took office': 'February 1967', 'Left office': 'January 1971'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Ahmed Zendo,February 1971,March 1976,"{'Name': 'Ahmed Zendo', 'Took office': 'February 1971', 'Left office': 'March 1976'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Mohamed Abd El Fatah Ibrahim,March 1976,January 1982,"{'Name': 'Mohamed Abd El Fatah Ibrahim', 'Took office': 'March 1976', 'Left office': 'January 1982'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Mohamed Shalaby,February 1982,March 1985,"{'Name': 'Mohamed Shalaby', 'Took office': 'February 1982', 'Left office': 'March 1985'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Ali Negm,March 1985,November 1986,"{'Name': 'Ali Negm', 'Took office': 'March 1985', 'Left office': 'November 1986'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Mahmoud Hamed,November 1986,October 1993,"{'Name': 'Mahmoud Hamed', 'Took office': 'November 1986', 'Left office': 'October 1993'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Ismail Hassan Mohamed,October 1993,October 2001,"{'Name': 'Ismail Hassan Mohamed', 'Took office': 'October 1993', 'Left office': 'October 2001'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Mohamed Abul Eyoun,October 2001,November 2003,"{'Name': 'Mohamed Abul Eyoun', 'Took office': 'October 2001', 'Left office': 'November 2003'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Farouk El-Okdah,December 2003,February 2013,"{'Name': 'Farouk El-Okdah', 'Took office': 'December 2003', 'Left office': 'February 2013'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Hisham Ramez,February 2013,November 2015,"{'Name': 'Hisham Ramez', 'Took office': 'February 2013', 'Left office': 'November 2015'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Tarek Hassan Amer,November 2015,August 2022,"{'Name': 'Tarek Hassan Amer', 'Took office': 'November 2015', 'Left office': 'August 2022'}"
Egypt,Central Bank of Egypt,https://en.wikipedia.org/wiki/Central_Bank_of_Egypt,wikitable,Name Took office Left office | List of governors,Governor,Hassan Abdalla,August 2022,Present,"{'Name': 'Hassan Abdalla', 'Took office': 'August 2022', 'Left office': 'Present'}"
El Salvador,Central Reserve Bank of El Salvador,https://en.wikipedia.org/wiki/Central_Reserve_Bank_of_El_Salvador,infobox,President,President,Douglas Rodríguez Fuentes,,,{'President': 'Douglas Rodríguez Fuentes'}
Equatorial Guinea,Bank of Central African States,https://en.wikipedia.org/wiki/Bank_of_Central_African_States,infobox,Governor,Governor,Yvon Sana Bangui,,,{'Governor': 'Yvon Sana Bangui [ 1 ]'}
Eritrea,Bank of Eritrea,https://en.wikipedia.org/wiki/Bank_of_Eritrea,infobox,Governor,Governor,Kibreab Woldemariam,,,{'Governor': 'Kibreab Woldemariam [ 2 ]'}
Estonia,European Central Bank ( Bank of Estonia ),https://en.wikipedia.org/wiki/European_Central_Bank,infobox,Key people,,Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist),,,{'Key people': 'Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist)'}
Eswatini,Central Bank of Eswatini,https://en.wikipedia.org/wiki/Central_Bank_of_Eswatini,infobox,Governor,Governor,Phil Mnisi,,,{'Governor': 'Phil Mnisi'}
Ethiopia,National Bank of Ethiopia,https://en.wikipedia.org/wiki/National_Bank_of_Ethiopia,infobox,Governor,Governor,Eyob Tekalign,,,{'Governor': 'Eyob Tekalign'}
Fiji,Reserve Bank of Fiji,https://en.wikipedia.org/wiki/Reserve_Bank_of_Fiji,infobox,Governor,Governor,Faizul Ariff Ali,,,{'Governor': 'Faizul Ariff Ali [ 2 ]'}
Finland,European Central Bank ( Bank of Finland ),https://en.wikipedia.org/wiki/European_Central_Bank,infobox,Key people,,Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist),,,{'Key people': 'Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist)'}
France,European Central Bank ( Bank of France ),https://en.wikipedia.org/wiki/European_Central_Bank,infobox,Key people,,Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist),,,{'Key people': 'Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist)'}
Gabon,Bank of Central African States,https://en.wikipedia.org/wiki/Bank_of_Central_African_States,infobox,Governor,Governor,Yvon Sana Bangui,,,{'Governor': 'Yvon Sana Bangui [ 1 ]'}
The Gambia,Central Bank of The Gambia,https://en.wikipedia.org/wiki/Central_Bank_of_The_Gambia,infobox,Governor,Governor,Buah Saidy,,,{'Governor': 'Buah Saidy'}
Germany,European Central Bank ( Deutsche Bundesbank ),https://en.wikipedia.org/wiki/European_Central_Bank,infobox,Key people,,Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist),,,{'Key people': 'Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist)'}
Georgia,National Bank of Georgia,https://en.wikipedia.org/wiki/National_Bank_of_Georgia_(country),infobox,Governor,Governor,Natia Turnava,,,{'Governor': 'Natia Turnava'}
Ghana,Bank of Ghana,https://en.wikipedia.org/wiki/Bank_of_Ghana,infobox,Governor,Governor,Dr. Johnson Pandit Asiama .,,,{'Governor': 'Dr. Johnson Pandit Asiama .'}
Greece,European Central Bank ( Bank of Greece ),https://en.wikipedia.org/wiki/European_Central_Bank,infobox,Key people,,Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist),,,{'Key people': 'Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist)'}
Grenada,Eastern Caribbean Central Bank,https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank,infobox,Governor,Governor,Timothy Antoine,,,{'Governor': 'Timothy Antoine'}
Guatemala,Bank of Guatemala,https://en.wikipedia.org/wiki/Bank_of_Guatemala,infobox,President of the Bank of Guatemala,President,Alvaro González Ricci,,,{'President of the Bank of Guatemala': 'Alvaro González Ricci'}
Guinea,Central Bank of the Republic of Guinea,https://en.wikipedia.org/wiki/Central_Bank_of_the_Republic_of_Guinea,wikitable,Name Took office Left office Notes | Governors,Governor,Moussa Diakité,1960,1963,"{'Name': 'Moussa Diakité', 'Took office': '1960', 'Left office': '1963'}"
Guinea,Central Bank of the Republic of Guinea,https://en.wikipedia.org/wiki/Central_Bank_of_the_Republic_of_Guinea,wikitable,Name Took office Left office Notes | Governors,Governor,Ousmane Baldé,1963,1965,"{'Name': 'Ousmane Baldé', 'Took office': '1963', 'Left office': '1965', 'Notes': '[5]'}"
Guinea,Central Bank of the Republic of Guinea,https://en.wikipedia.org/wiki/Central_Bank_of_the_Republic_of_Guinea,wikitable,Name Took office Left office Notes | Governors,Governor,Moussa Diakité,1965,1968,"{'Name': 'Moussa Diakité', 'Took office': '1965', 'Left office': '1968'}"
Guinea,Central Bank of the Republic of Guinea,https://en.wikipedia.org/wiki/Central_Bank_of_the_Republic_of_Guinea,wikitable,Name Took office Left office Notes | Governors,Governor,Balla Camara,1969,1970,"{'Name': 'Balla Camara', 'Took office': '1969', 'Left office': '1970', 'Notes': '[5]'}"
Guinea,Central Bank of the Republic of Guinea,https://en.wikipedia.org/wiki/Central_Bank_of_the_Republic_of_Guinea,wikitable,Name Took office Left office Notes | Governors,Governor,Lamine Conde,1970,1981-?,"{'Name': 'Lamine Conde', 'Took office': '1970', 'Left office': '1981-?'}"
Guinea,Central Bank of the Republic of Guinea,https://en.wikipedia.org/wiki/Central_Bank_of_the_Republic_of_Guinea,wikitable,Name Took office Left office Notes | Governors,Governor,Kabiné Kaba,1984,?,"{'Name': 'Kabiné Kaba', 'Took office': '1984', 'Left office': '?'}"
Guinea,Central Bank of the Republic of Guinea,https://en.wikipedia.org/wiki/Central_Bank_of_the_Republic_of_Guinea,wikitable,Name Took office Left office Notes | Governors,Governor,Aboubacar Kagbè Touré,?-1985,1985-?,"{'Name': 'Aboubacar Kagbè Touré', 'Took office': '?-1985', 'Left office': '1985-?'}"
Guinea,Central Bank of the Republic of Guinea,https://en.wikipedia.org/wiki/Central_Bank_of_the_Republic_of_Guinea,wikitable,Name Took office Left office Notes | Governors,Governor,Kerfalla Yansané,1986,1996,"{'Name': 'Kerfalla Yansané', 'Took office': '1986', 'Left office': '1996', 'Notes': '[6]'}"
Guinea,Central Bank of the Republic of Guinea,https://en.wikipedia.org/wiki/Central_Bank_of_the_Republic_of_Guinea,wikitable,Name Took office Left office Notes | Governors,Governor,Ibrahima Chérif Bah,1996,2004,"{'Name': 'Ibrahima Chérif Bah', 'Took office': '1996', 'Left office': '2004'}"
Guinea,Central Bank of the Republic of Guinea,https://en.wikipedia.org/wiki/Central_Bank_of_the_Republic_of_Guinea,wikitable,Name Took office Left office Notes | Governors,Governor,Alkaly Mohammed Daffé,2004,2007,"{'Name': 'Alkaly Mohammed Daffé', 'Took office': '2004', 'Left office': '2007', 'Notes': '[7]'}"
Guinea,Central Bank of the Republic of Guinea,https://en.wikipedia.org/wiki/Central_Bank_of_the_Republic_of_Guinea,wikitable,Name Took office Left office Notes | Governors,Governor,Daouda Bangoura,2007,2009,"{'Name': 'Daouda Bangoura', 'Took office': '2007', 'Left office': '2009', 'Notes': '[8]'}"
Guinea,Central Bank of the Republic of Guinea,https://en.wikipedia.org/wiki/Central_Bank_of_the_Republic_of_Guinea,wikitable,Name Took office Left office Notes | Governors,Governor,Alhassane Barry,2009,2010,"{'Name': 'Alhassane Barry', 'Took office': '2009', 'Left office': '2010', 'Notes': '[9]'}"
Guinea,Central Bank of the Republic of Guinea,https://en.wikipedia.org/wiki/Central_Bank_of_the_Republic_of_Guinea,wikitable,Name Took office Left office Notes | Governors,Governor,Louncény Nabé,2010,2021,"{'Name': 'Louncény Nabé', 'Took office': '2010', 'Left office': '2021', 'Notes': '[3]'}"
Guinea,Central Bank of the Republic of Guinea,https://en.wikipedia.org/wiki/Central_Bank_of_the_Republic_of_Guinea,wikitable,Name Took office Left office Notes | Governors,Governor,Karamo Kaba,2021,,"{'Name': 'Karamo Kaba', 'Took office': '2021', 'Notes': '[3]'}"
Guinea-Bissau,Central Bank of West African States,https://en.wikipedia.org/wiki/Central_Bank_of_West_African_States,infobox,Governor,Governor,Jean-Claude Brou,,,{'Governor': 'Jean-Claude Brou'}
Guyana,Bank of Guyana,https://en.wikipedia.org/wiki/Bank_of_Guyana,infobox,Governor,Governor,Gobind Ganga,,,{'Governor': 'Gobind Ganga'}
Haiti,Bank of the Republic of Haiti,https://en.wikipedia.org/wiki/Bank_of_the_Republic_of_Haiti,infobox,Governor,Governor,Ronald Gabriel,,,{'Governor': 'Ronald Gabriel'}
Honduras,Central Bank of Honduras,https://en.wikipedia.org/wiki/Central_Bank_of_Honduras,wikitable,Name Took office Left office | Presidents,President,Roberto Ramírez Ordóñez,1950,1971,"{'Name': 'Roberto Ramírez Ordóñez', 'Took office': '1950', 'Left office': '1971'}"
Honduras,Central Bank of Honduras,https://en.wikipedia.org/wiki/Central_Bank_of_Honduras,wikitable,Name Took office Left office | Presidents,President,Alberto Galeano,1971,1975,"{'Name': 'Alberto Galeano', 'Took office': '1971', 'Left office': '1975'}"
Honduras,Central Bank of Honduras,https://en.wikipedia.org/wiki/Central_Bank_of_Honduras,wikitable,Name Took office Left office | Presidents,President,Guillermo Bueso,May 1975,July 1979,"{'Name': 'Guillermo Bueso', 'Took office': 'May 1975', 'Left office': 'July 1979'}"
Honduras,Central Bank of Honduras,https://en.wikipedia.org/wiki/Central_Bank_of_Honduras,wikitable,Name Took office Left office | Presidents,President,Práxedes Martínez Silva,August 1979,February 1982,"{'Name': 'Práxedes Martínez Silva', 'Took office': 'August 1979', 'Left office': 'February 1982'}"
Honduras,Central Bank of Honduras,https://en.wikipedia.org/wiki/Central_Bank_of_Honduras,wikitable,Name Took office Left office | Presidents,President,Gonzalo Carías,March 1982,January 1990,"{'Name': 'Gonzalo Carías', 'Took office': 'March 1982', 'Left office': 'January 1990'}"
Honduras,Central Bank of Honduras,https://en.wikipedia.org/wiki/Central_Bank_of_Honduras,wikitable,Name Took office Left office | Presidents,President,Ricardo Maduro,February 1990,January 1994,"{'Name': 'Ricardo Maduro', 'Took office': 'February 1990', 'Left office': 'January 1994'}"
Honduras,Central Bank of Honduras,https://en.wikipedia.org/wiki/Central_Bank_of_Honduras,wikitable,Name Took office Left office | Presidents,President,Hugo Noé Pino,February 1994,February 1998,"{'Name': 'Hugo Noé Pino[6]', 'Took office': 'February 1994', 'Left office': 'February 1998'}"
Honduras,Central Bank of Honduras,https://en.wikipedia.org/wiki/Central_Bank_of_Honduras,wikitable,Name Took office Left office | Presidents,President,Emin Barjum Mahomar,February 1998,June 1999,"{'Name': 'Emin Barjum Mahomar[6]', 'Took office': 'February 1998', 'Left office': 'June 1999'}"
Honduras,Central Bank of Honduras,https://en.wikipedia.org/wiki/Central_Bank_of_Honduras,wikitable,Name Took office Left office | Presidents,President,Victoria Asfura de Díaz,June 1999,January 2002,"{'Name': 'Victoria Asfura de Díaz[6]', 'Took office': 'June 1999', 'Left office': 'January 2002'}"
Honduras,Central Bank of Honduras,https://en.wikipedia.org/wiki/Central_Bank_of_Honduras,wikitable,Name Took office Left office | Presidents,President,Maria Elena Mondragón,January 2002,January 2006,"{'Name': 'Maria Elena Mondragón[6]', 'Took office': 'January 2002', 'Left office': 'January 2006'}"
Honduras,Central Bank of Honduras,https://en.wikipedia.org/wiki/Central_Bank_of_Honduras,wikitable,Name Took office Left office | Presidents,President,Gabriela Núñez,January 2006,January 2008,"{'Name': 'Gabriela Núñez[6]', 'Took office': 'January 2006', 'Left office': 'January 2008'}"
Honduras,Central Bank of Honduras,https://en.wikipedia.org/wiki/Central_Bank_of_Honduras,wikitable,Name Took office Left office | Presidents,President,Edwin Araque Bonilla,January 2008,June 2009,"{'Name': 'Edwin Araque Bonilla[6]', 'Took office': 'January 2008', 'Left office': 'June 2009'}"
Honduras,Central Bank of Honduras,https://en.wikipedia.org/wiki/Central_Bank_of_Honduras,wikitable,Name Took office Left office | Presidents,President,Sandra Midence,July 2009,January 2010,"{'Name': 'Sandra Midence[6]', 'Took office': 'July 2009', 'Left office': 'January 2010'}"
Honduras,Central Bank of Honduras,https://en.wikipedia.org/wiki/Central_Bank_of_Honduras,wikitable,Name Took office Left office | Presidents,President,Maria Elena Mondragón,January 2010,January 2014,"{'Name': 'Maria Elena Mondragón[6]', 'Took office': 'January 2010', 'Left office': 'January 2014'}"
Honduras,Central Bank of Honduras,https://en.wikipedia.org/wiki/Central_Bank_of_Honduras,wikitable,Name Took office Left office | Presidents,President,Marlon Tábora Muñoz,January 2014,July 2015,"{'Name': 'Marlon Tábora Muñoz[6]', 'Took office': 'January 2014', 'Left office': 'July 2015'}"
Honduras,Central Bank of Honduras,https://en.wikipedia.org/wiki/Central_Bank_of_Honduras,wikitable,Name Took office Left office | Presidents,President,Manuel de Jesús Bautista,January 2016,January 2018,"{'Name': 'Manuel de Jesús Bautista[6]', 'Took office': 'January 2016', 'Left office': 'January 2018'}"
Honduras,Central Bank of Honduras,https://en.wikipedia.org/wiki/Central_Bank_of_Honduras,wikitable,Name Took office Left office | Presidents,President,Wilfredo Cerrato,January 2018,January 2022,"{'Name': 'Wilfredo Cerrato[6]', 'Took office': 'January 2018', 'Left office': 'January 2022'}"
Honduras,Central Bank of Honduras,https://en.wikipedia.org/wiki/Central_Bank_of_Honduras,wikitable,Name Took office Left office | Presidents,President,Rebeca Santos,January 2022,January 2026,"{'Name': 'Rebeca Santos[6]', 'Took office': 'January 2022', 'Left office': 'January 2026'}"
Honduras,Central Bank of Honduras,https://en.wikipedia.org/wiki/Central_Bank_of_Honduras,wikitable,Name Took office Left office | Presidents,President,Roberto Lagos Mondragon,January 2026,Incumbent,"{'Name': 'Roberto Lagos Mondragon[6]', 'Took office': 'January 2026', 'Left office': 'Incumbent'}"
Hungary,Hungarian National Bank,https://en.wikipedia.org/wiki/Hungarian_National_Bank,infobox,Governor,Governor,Mihály Varga,,,{'Governor': 'Mihály Varga'}
Iceland,Central Bank of Iceland,https://en.wikipedia.org/wiki/Central_Bank_of_Iceland,wikitable,N.º Name Mandat | List of governors,Governor,Már Guðmundsson,,,"{'N.º': '1', 'Name': 'Már Guðmundsson[7]', 'Mandat': '20 August 2009–31 July 2019'}"
Iceland,Central Bank of Iceland,https://en.wikipedia.org/wiki/Central_Bank_of_Iceland,wikitable,N.º Name Mandat | List of governors,Governor,Ásgeir Jónsson,,,"{'N.º': '2', 'Name': 'Ásgeir Jónsson', 'Mandat': 'Since 1 July 2019'}"
India,Reserve Bank of India,https://en.wikipedia.org/wiki/Reserve_Bank_of_India,wikitable,Board of Directors Governor & Other Positions | RBI Organizational Structure,Governor,"Governor Sanjay Malhotra, (IAS)",,,"{'Board of Directors': 'M Nagaraju Revathy Iyer Sachin Chaturvedi Anand Gopal Mahindra Swaminathan J Venu Srinivasan Pankaj Ramanbhai Patel Ravindra H. Dholakia Satish Kashinath Marathe Swaminathan Gurumurthy', 'Governor & Other Positions': 'Governor Sanjay Malhotra, (IAS)'}"
India,Reserve Bank of India,https://en.wikipedia.org/wiki/Reserve_Bank_of_India,wikitable,Board of Directors Governor & Other Positions | RBI Organizational Structure,Governor,Deputy Governors T Rabi Shankar Swaminathan Janakiraman Poonam Gupta Shirish Chandra Murmu,,,"{'Board of Directors': 'M Nagaraju Revathy Iyer Sachin Chaturvedi Anand Gopal Mahindra Swaminathan J Venu Srinivasan Pankaj Ramanbhai Patel Ravindra H. Dholakia Satish Kashinath Marathe Swaminathan Gurumurthy', 'Governor & Other Positions': 'Deputy Governors T Rabi Shankar Swaminathan Janakiraman Poonam Gupta Shirish Chandra Murmu'}"
India,Reserve Bank of India,https://en.wikipedia.org/wiki/Reserve_Bank_of_India,wikitable,Board of Directors Governor & Other Positions | RBI Organizational Structure,Governor,Executive Directors Multiple,,,"{'Board of Directors': 'M Nagaraju Revathy Iyer Sachin Chaturvedi Anand Gopal Mahindra Swaminathan J Venu Srinivasan Pankaj Ramanbhai Patel Ravindra H. Dholakia Satish Kashinath Marathe Swaminathan Gurumurthy', 'Governor & Other Positions': 'Executive Directors Multiple'}"
