country;central_bank;wikipedia_bank_url;source_type;source_label;row_kind;row_data;resolved_row_data
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Manuel Trucco Franzani', 'Entered office': '1946', 'Exited office': '1951'};{'Name': 'Manuel Trucco Franzani', 'Entered office': '1946', 'Exited office': '1951'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Arturo Maschke Tornero', 'Entered office': '1953', 'Exited office': '1959'};{'Name': 'Arturo Maschke Tornero', 'Entered office': '1953', 'Exited office': '1959'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Eduardo Figueroa Geisse', 'Entered office': '1959', 'Exited office': '1961'};{'Name': 'Eduardo Figueroa Geisse', 'Entered office': '1959', 'Exited office': '1961'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Luis Mackenna Shiell', 'Entered office': '1962', 'Exited office': '1964'};{'Name': 'Luis Mackenna Shiell', 'Entered office': '1962', 'Exited office': '1964'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Sergio Molina Silva', 'Entered office': '1964', 'Exited office': '1967'};{'Name': 'Sergio Molina Silva', 'Entered office': '1964', 'Exited office': '1967'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Carlos Massad Abud', 'Entered office': '1967', 'Exited office': '1970'};{'Name': 'Carlos Massad Abud', 'Entered office': '1967', 'Exited office': '1970'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Alfonso Inostroza Cuevas', 'Entered office': '1970', 'Exited office': '1973'};{'Name': 'Alfonso Inostroza Cuevas', 'Entered office': '1970', 'Exited office': '1973'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Carlos Matus Romo', 'Entered office': 'June 2, 1973', 'Exited office': 'September 10, 1973'};{'Name': 'Carlos Matus Romo', 'Entered office': 'June 2, 1973', 'Exited office': 'September 10, 1973'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Eduardo Cano Quijada', 'Entered office': '1973', 'Exited office': '1975'};{'Name': 'Eduardo Cano Quijada', 'Entered office': '1973', 'Exited office': '1975'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Pablo Baraona Urzúa', 'Entered office': '1975', 'Exited office': '1976'};{'Name': 'Pablo Baraona Urzúa', 'Entered office': '1975', 'Exited office': '1976'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Alvaro Bardón Muñoz', 'Entered office': '1977', 'Exited office': '1981'};{'Name': 'Alvaro Bardón Muñoz', 'Entered office': '1977', 'Exited office': '1981'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Sergio de la Cuadra Fabres', 'Entered office': '1981', 'Exited office': '1982'};{'Name': 'Sergio de la Cuadra Fabres', 'Entered office': '1981', 'Exited office': '1982'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Miguel Kast Rist', 'Entered office': 'April 23, 1982', 'Exited office': 'September 2, 1982'};{'Name': 'Miguel Kast Rist', 'Entered office': 'April 23, 1982', 'Exited office': 'September 2, 1982'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Carlos Cáceres Contreras', 'Entered office': 'September 3, 1982', 'Exited office': '1983'};{'Name': 'Carlos Cáceres Contreras', 'Entered office': 'September 3, 1982', 'Exited office': '1983'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Hernán Felipe Errázuriz Correa', 'Entered office': '1983', 'Exited office': '1984'};{'Name': 'Hernán Felipe Errázuriz Correa', 'Entered office': '1983', 'Exited office': '1984'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Francisco Ibáñez Barceló', 'Entered office': '1984', 'Exited office': '1985'};{'Name': 'Francisco Ibáñez Barceló', 'Entered office': '1984', 'Exited office': '1985'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Enrique Seguel Morel', 'Entered office': '1985', 'Exited office': 'April 3, 1989'};{'Name': 'Enrique Seguel Morel', 'Entered office': '1985', 'Exited office': 'April 3, 1989'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Manuel Concha Martínez', 'Entered office': 'April 3, 1989', 'Exited office': 'December 9, 1989'};{'Name': 'Manuel Concha Martínez', 'Entered office': 'April 3, 1989', 'Exited office': 'December 9, 1989'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Andrés Bianchi Larre', 'Entered office': 'December 10, 1989', 'Exited office': 'December 2, 1991'};{'Name': 'Andrés Bianchi Larre', 'Entered office': 'December 10, 1989', 'Exited office': 'December 2, 1991'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Roberto Zahler Mayanz', 'Entered office': 'December 3, 1991', 'Exited office': 'June 30, 1996'};{'Name': 'Roberto Zahler Mayanz', 'Entered office': 'December 3, 1991', 'Exited office': 'June 30, 1996'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Carlos Massad Abud', 'Entered office': 'July 1, 1996', 'Exited office': '2003'};{'Name': 'Carlos Massad Abud', 'Entered office': 'July 1, 1996', 'Exited office': '2003'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Vittorio Corbo Lioi', 'Entered office': '2003', 'Exited office': '2007'};{'Name': 'Vittorio Corbo Lioi', 'Entered office': '2003', 'Exited office': '2007'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'José de Gregorio Rebeco', 'Entered office': '2007', 'Exited office': '2011'};{'Name': 'José de Gregorio Rebeco', 'Entered office': '2007', 'Exited office': '2011'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Rodrigo Vergara', 'Entered office': '2011', 'Exited office': '2016'};{'Name': 'Rodrigo Vergara', 'Entered office': '2011', 'Exited office': '2016'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Mario Marcel', 'Entered office': '2016', 'Exited office': '2022'};{'Name': 'Mario Marcel', 'Entered office': '2016', 'Exited office': '2022'}
Chile;Central Bank of Chile;https://en.wikipedia.org/wiki/Central_Bank_of_Chile;wikitable;Picture Name Entered office Exited office Notes | List of governors;data;{'Name': 'Rosanna Costa', 'Entered office': '2022', 'Exited office': 'Present day'};{'Name': 'Rosanna Costa', 'Entered office': '2022', 'Exited office': 'Present day'}
China;People's Bank of China;https://en.wikipedia.org/wiki/People%27s_Bank_of_China;infobox;Key people;data;{'Key people': 'Pan Gongsheng , Governor and CCP Committee Secretary'};{'Key people': 'Pan Gongsheng , Governor and CCP Committee Secretary'}
Colombia;Bank of the Republic;https://en.wikipedia.org/wiki/Bank_of_the_Republic_(Colombia);wikitable;Governors of the Bank of the Republic | Name Term | Governors;data;{'Name': 'José Joaquín Pérez', 'Term': '1923 - 1924'};{'Name': 'José Joaquín Pérez', 'Term': '1923 - 1924'}
Colombia;Bank of the Republic;https://en.wikipedia.org/wiki/Bank_of_the_Republic_(Colombia);wikitable;Governors of the Bank of the Republic | Name Term | Governors;data;{'Name': 'Félix Salazar Jaramillo', 'Term': '1924 - 1927'};{'Name': 'Félix Salazar Jaramillo', 'Term': '1924 - 1927'}
Colombia;Bank of the Republic;https://en.wikipedia.org/wiki/Bank_of_the_Republic_(Colombia);wikitable;Governors of the Bank of the Republic | Name Term | Governors;data;{'Name': 'Julio Caro', 'Term': '1927 - 1947'};{'Name': 'Julio Caro', 'Term': '1927 - 1947'}
Colombia;Bank of the Republic;https://en.wikipedia.org/wiki/Bank_of_the_Republic_(Colombia);wikitable;Governors of the Bank of the Republic | Name Term | Governors;data;{'Name': 'Luis Ángel Arango', 'Term': '1947 - 1957'};{'Name': 'Luis Ángel Arango', 'Term': '1947 - 1957'}
Colombia;Bank of the Republic;https://en.wikipedia.org/wiki/Bank_of_the_Republic_(Colombia);wikitable;Governors of the Bank of the Republic | Name Term | Governors;data;{'Name': 'Carlos Mario Londoño', 'Term': '1957'};{'Name': 'Carlos Mario Londoño', 'Term': '1957'}
Colombia;Bank of the Republic;https://en.wikipedia.org/wiki/Bank_of_the_Republic_(Colombia);wikitable;Governors of the Bank of the Republic | Name Term | Governors;data;{'Name': 'Ignacio Copete Lizarralde', 'Term': 'September 1957 - February 1960'};{'Name': 'Ignacio Copete Lizarralde', 'Term': 'September 1957 - February 1960'}
Colombia;Bank of the Republic;https://en.wikipedia.org/wiki/Bank_of_the_Republic_(Colombia);wikitable;Governors of the Bank of the Republic | Name Term | Governors;data;{'Name': 'Jorge Cortés Boshell (interim)', 'Term': 'February 1960 - December 1960'};{'Name': 'Jorge Cortés Boshell (interim)', 'Term': 'February 1960 - December 1960'}
Colombia;Bank of the Republic;https://en.wikipedia.org/wiki/Bank_of_the_Republic_(Colombia);wikitable;Governors of the Bank of the Republic | Name Term | Governors;data;{'Name': 'Eduardo Arias Robledo', 'Term': 'January 1961 - October 1969'};{'Name': 'Eduardo Arias Robledo', 'Term': 'January 1961 - October 1969'}
Colombia;Bank of the Republic;https://en.wikipedia.org/wiki/Bank_of_the_Republic_(Colombia);wikitable;Governors of the Bank of the Republic | Name Term | Governors;data;{'Name': 'Germán Botero de los Ríos', 'Term': 'October 1969 - August 1978'};{'Name': 'Germán Botero de los Ríos', 'Term': 'October 1969 - August 1978'}
Colombia;Bank of the Republic;https://en.wikipedia.org/wiki/Bank_of_the_Republic_(Colombia);wikitable;Governors of the Bank of the Republic | Name Term | Governors;data;{'Name': 'Rafael Gamma Quijano', 'Term': 'August 1978 - August 1982'};{'Name': 'Rafael Gamma Quijano', 'Term': 'August 1978 - August 1982'}
Colombia;Bank of the Republic;https://en.wikipedia.org/wiki/Bank_of_the_Republic_(Colombia);wikitable;Governors of the Bank of the Republic | Name Term | Governors;data;{'Name': 'Hugo Palacios Mejía', 'Term': 'September 1982 - September 1985'};{'Name': 'Hugo Palacios Mejía', 'Term': 'September 1982 - September 1985'}
Colombia;Bank of the Republic;https://en.wikipedia.org/wiki/Bank_of_the_Republic_(Colombia);wikitable;Governors of the Bank of the Republic | Name Term | Governors;data;{'Name': 'Francisco J. Ortega', 'Term': 'October 1985 - February 1993'};{'Name': 'Francisco J. Ortega', 'Term': 'October 1985 - February 1993'}
Colombia;Bank of the Republic;https://en.wikipedia.org/wiki/Bank_of_the_Republic_(Colombia);wikitable;Governors of the Bank of the Republic | Name Term | Governors;data;{'Name': 'Miguel Urrutia Montoya', 'Term': 'February 1993 - January 2005'};{'Name': 'Miguel Urrutia Montoya', 'Term': 'February 1993 - January 2005'}
Colombia;Bank of the Republic;https://en.wikipedia.org/wiki/Bank_of_the_Republic_(Colombia);wikitable;Governors of the Bank of the Republic | Name Term | Governors;data;{'Name': 'José Darío Uribe', 'Term': 'January 2005 - January 2017'};{'Name': 'José Darío Uribe', 'Term': 'January 2005 - January 2017'}
Colombia;Bank of the Republic;https://en.wikipedia.org/wiki/Bank_of_the_Republic_(Colombia);wikitable;Governors of the Bank of the Republic | Name Term | Governors;data;{'Name': 'Juan José Echavarría', 'Term': 'January 2017 - December 2020'};{'Name': 'Juan José Echavarría', 'Term': 'January 2017 - December 2020'}
Colombia;Bank of the Republic;https://en.wikipedia.org/wiki/Bank_of_the_Republic_(Colombia);wikitable;Governors of the Bank of the Republic | Name Term | Governors;data;{'Name': 'Leonardo Villar', 'Term': 'January 2021'};{'Name': 'Leonardo Villar', 'Term': 'January 2021'}
Comoros;Central Bank of the Comoros;https://en.wikipedia.org/wiki/Central_Bank_of_the_Comoros;wikitable;Name Took office Left office | Governors;data;{'Name': 'Said Mohamed Mshangama', 'Took office': '1978', 'Left office': '1981', 'Unnamed: 3': 'director'};{'Name': 'Said Mohamed Mshangama', 'Took office': '1978', 'Left office': '1981', 'Unnamed: 3': 'director'}
Comoros;Central Bank of the Comoros;https://en.wikipedia.org/wiki/Central_Bank_of_the_Comoros;wikitable;Name Took office Left office | Governors;data;{'Name': 'Mohamed Halifa', 'Took office': '1981', 'Left office': '1996'};{'Name': 'Mohamed Halifa', 'Took office': '1981', 'Left office': '1996'}
Comoros;Central Bank of the Comoros;https://en.wikipedia.org/wiki/Central_Bank_of_the_Comoros;wikitable;Name Took office Left office | Governors;data;{'Name': 'Said Ahmed Said Ali', 'Took office': '1996', 'Left office': '2002'};{'Name': 'Said Ahmed Said Ali', 'Took office': '1996', 'Left office': '2002'}
Comoros;Central Bank of the Comoros;https://en.wikipedia.org/wiki/Central_Bank_of_the_Comoros;wikitable;Name Took office Left office | Governors;data;{'Name': 'Ibrahim Ben Ali', 'Took office': '2002', 'Left office': '2005'};{'Name': 'Ibrahim Ben Ali', 'Took office': '2002', 'Left office': '2005'}
Comoros;Central Bank of the Comoros;https://en.wikipedia.org/wiki/Central_Bank_of_the_Comoros;wikitable;Name Took office Left office | Governors;data;{'Name': 'Ahamadi Abdoulbastoi', 'Took office': '2005', 'Left office': '2010'};{'Name': 'Ahamadi Abdoulbastoi', 'Took office': '2005', 'Left office': '2010'}
Comoros;Central Bank of the Comoros;https://en.wikipedia.org/wiki/Central_Bank_of_the_Comoros;wikitable;Name Took office Left office | Governors;data;{'Name': 'Mzé Abdou Mohamed Chanfiou', 'Took office': '2011', 'Left office': '2017'};{'Name': 'Mzé Abdou Mohamed Chanfiou', 'Took office': '2011', 'Left office': '2017'}
Comoros;Central Bank of the Comoros;https://en.wikipedia.org/wiki/Central_Bank_of_the_Comoros;wikitable;Name Took office Left office | Governors;data;{'Name': 'Younoussa Imani', 'Took office': '2017', 'Left office': 'Incumbent'};{'Name': 'Younoussa Imani', 'Took office': '2017', 'Left office': 'Incumbent'}
Congo, Democratic Republic of;Central Bank of the Congo;https://en.wikipedia.org/wiki/Central_Bank_of_the_Congo;infobox;Governor;data;{'Governor': 'André Wameso'};{'Governor': 'André Wameso'}
Congo, Republic of;Bank of Central African States;https://en.wikipedia.org/wiki/Bank_of_Central_African_States;infobox;Governor;data;{'Governor': 'Yvon Sana Bangui'};{'Governor': 'Yvon Sana Bangui'}
Costa Rica;Central Bank of Costa Rica;https://en.wikipedia.org/wiki/Central_Bank_of_Costa_Rica;infobox;Governor;data;{'Governor': 'Róger Madrigal'};{'Governor': 'Róger Madrigal'}
Cote d'Ivoire;Central Bank of West African States;https://en.wikipedia.org/wiki/Central_Bank_of_West_African_States;infobox;Governor;data;{'Governor': 'Jean-Claude Brou'};{'Governor': 'Jean-Claude Brou'}
Croatia;European Central Bank ( Croatian National Bank );https://en.wikipedia.org/wiki/European_Central_Bank;infobox;Key people;data;{'Key people': 'Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist)'};{'Key people': 'Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist)'}
Cuba;Central Bank of Cuba;https://en.wikipedia.org/wiki/Central_Bank_of_Cuba;wikitable;No. Image Name Term | Presidents;data;{'No.': '1', 'Name': 'Felipe Pazos', 'Term': '1950 – April 1952'};{'No.': '1', 'Name': 'Felipe Pazos', 'Term': '1950 – April 1952'}
Cuba;Central Bank of Cuba;https://en.wikipedia.org/wiki/Central_Bank_of_Cuba;wikitable;No. Image Name Term | Presidents;data;{'No.': '2', 'Name': 'Joaquín Martínez Sáenz', 'Term': 'April 1952 – 1958'};{'No.': '2', 'Name': 'Joaquín Martínez Sáenz', 'Term': 'April 1952 – 1958'}
Cuba;Central Bank of Cuba;https://en.wikipedia.org/wiki/Central_Bank_of_Cuba;wikitable;No. Image Name Term | Presidents;data;{'No.': '(1)', 'Name': 'Felipe Pazos', 'Term': 'January 1959 – November 1959'};{'No.': '(1)', 'Name': 'Felipe Pazos', 'Term': 'January 1959 – November 1959'}
Cuba;Central Bank of Cuba;https://en.wikipedia.org/wiki/Central_Bank_of_Cuba;wikitable;No. Image Name Term | Presidents;data;{'No.': '3', 'Name': 'Che Guevara', 'Term': '26 November 1959 – 23 February 1961'};{'No.': '3', 'Name': 'Che Guevara', 'Term': '26 November 1959 – 23 February 1961'}
Cuba;Central Bank of Cuba;https://en.wikipedia.org/wiki/Central_Bank_of_Cuba;wikitable;No. Image Name Term | Presidents;data;{'No.': '4', 'Name': 'Raúl Cepero Bonilla', 'Term': '1961–1962'};{'No.': '4', 'Name': 'Raúl Cepero Bonilla', 'Term': '1961–1962'}
Cuba;Central Bank of Cuba;https://en.wikipedia.org/wiki/Central_Bank_of_Cuba;wikitable;No. Image Name Term | Presidents;data;{'No.': '5', 'Name': 'Orlando Pérez Rodríguez', 'Term': '1962–1973'};{'No.': '5', 'Name': 'Orlando Pérez Rodríguez', 'Term': '1962–1973'}
Cuba;Central Bank of Cuba;https://en.wikipedia.org/wiki/Central_Bank_of_Cuba;wikitable;No. Image Name Term | Presidents;data;{'No.': '6', 'Name': 'Raúl León Torrás', 'Term': '1973–1985'};{'No.': '6', 'Name': 'Raúl León Torrás', 'Term': '1973–1985'}
Cuba;Central Bank of Cuba;https://en.wikipedia.org/wiki/Central_Bank_of_Cuba;wikitable;No. Image Name Term | Presidents;data;{'No.': '7', 'Name': 'Héctor Rodríguez Llompart', 'Term': '1985–1995'};{'No.': '7', 'Name': 'Héctor Rodríguez Llompart', 'Term': '1985–1995'}
Cuba;Central Bank of Cuba;https://en.wikipedia.org/wiki/Central_Bank_of_Cuba;wikitable;No. Image Name Term | Presidents;data;{'No.': '8', 'Name': 'Francisco Soberón Valdés', 'Term': '1995–2009'};{'No.': '8', 'Name': 'Francisco Soberón Valdés', 'Term': '1995–2009'}
Cuba;Central Bank of Cuba;https://en.wikipedia.org/wiki/Central_Bank_of_Cuba;wikitable;No. Image Name Term | Presidents;data;{'No.': '9', 'Name': 'Ernesto Medina Villaveiran', 'Term': '2009–2017'};{'No.': '9', 'Name': 'Ernesto Medina Villaveiran', 'Term': '2009–2017'}
Cuba;Central Bank of Cuba;https://en.wikipedia.org/wiki/Central_Bank_of_Cuba;wikitable;No. Image Name Term | Presidents;data;{'No.': '10', 'Name': 'Irma Margarita Martínez Castrillón', 'Term': '2017–2020'};{'No.': '10', 'Name': 'Irma Margarita Martínez Castrillón', 'Term': '2017–2020'}
Cuba;Central Bank of Cuba;https://en.wikipedia.org/wiki/Central_Bank_of_Cuba;wikitable;No. Image Name Term | Presidents;data;{'No.': '11', 'Name': 'Marta Sabina Wilson González', 'Term': '2020–2023'};{'No.': '11', 'Name': 'Marta Sabina Wilson González', 'Term': '2020–2023'}
Cuba;Central Bank of Cuba;https://en.wikipedia.org/wiki/Central_Bank_of_Cuba;wikitable;No. Image Name Term | Presidents;data;{'No.': '12', 'Name': 'Joaquín Alonso Vázquez', 'Term': '15 February 2023 – 2 February 2024'};{'No.': '12', 'Name': 'Joaquín Alonso Vázquez', 'Term': '15 February 2023 – 2 February 2024'}
Cuba;Central Bank of Cuba;https://en.wikipedia.org/wiki/Central_Bank_of_Cuba;wikitable;No. Image Name Term | Presidents;data;{'No.': '13', 'Name': 'Juana Lilia Delgado Portal', 'Term': '2 February 2024 – present'};{'No.': '13', 'Name': 'Juana Lilia Delgado Portal', 'Term': '2 February 2024 – present'}
Curaçao;Central Bank of Curaçao and Sint Maarten;https://en.wikipedia.org/wiki/Central_Bank_of_Cura%C3%A7ao_and_Sint_Maarten;infobox;President;data;{'President': 'Richard Doornbosch'};{'President': 'Richard Doornbosch'}
Cyprus;European Central Bank ( Central Bank of Cyprus );https://en.wikipedia.org/wiki/European_Central_Bank;infobox;Key people;data;{'Key people': 'Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist)'};{'Key people': 'Christine Lagarde ( president ) Luis de Guindos ( vice president ) Philip R. Lane (chief economist)'}
Turkish Republic of Northern Cyprus *;Central Bank of the Turkish Republic of Northern Cyprus;https://en.wikipedia.org/wiki/Central_Bank_of_the_Turkish_Republic_of_Northern_Cyprus;wikitable;Name Took office Left office Notes | Chairmen;data;{'Name': 'Demirhan Sayiner', 'Took office': '1983', 'Left office': '2001'};{'Name': 'Demirhan Sayiner', 'Took office': '1983', 'Left office': '2001'}
Turkish Republic of Northern Cyprus *;Central Bank of the Turkish Republic of Northern Cyprus;https://en.wikipedia.org/wiki/Central_Bank_of_the_Turkish_Republic_of_Northern_Cyprus;wikitable;Name Took office Left office Notes | Chairmen;data;{'Name': 'Erdoğan Küçük', 'Took office': '? - 2002', 'Left office': 'May 2007'};{'Name': 'Erdoğan Küçük', 'Took office': '? - 2002', 'Left office': 'May 2007'}
Turkish Republic of Northern Cyprus *;Central Bank of the Turkish Republic of Northern Cyprus;https://en.wikipedia.org/wiki/Central_Bank_of_the_Turkish_Republic_of_Northern_Cyprus;wikitable;Name Took office Left office Notes | Chairmen;data;{'Name': 'Ahmet Tugay', 'Took office': 'May 2007', 'Left office': '2011'};{'Name': 'Ahmet Tugay', 'Took office': 'May 2007', 'Left office': '2011'}
Turkish Republic of Northern Cyprus *;Central Bank of the Turkish Republic of Northern Cyprus;https://en.wikipedia.org/wiki/Central_Bank_of_the_Turkish_Republic_of_Northern_Cyprus;wikitable;Name Took office Left office Notes | Chairmen;data;{'Name': 'Bilal San', 'Took office': '2011', 'Left office': '2016 - ?'};{'Name': 'Bilal San', 'Took office': '2011', 'Left office': '2016 - ?'}
Turkish Republic of Northern Cyprus *;Central Bank of the Turkish Republic of Northern Cyprus;https://en.wikipedia.org/wiki/Central_Bank_of_the_Turkish_Republic_of_Northern_Cyprus;wikitable;Name Took office Left office Notes | Chairmen;data;{'Name': 'Mehmet Emin Özcan', 'Took office': 'February 2017', 'Left office': 'June 2017'};{'Name': 'Mehmet Emin Özcan', 'Took office': 'February 2017', 'Left office': 'June 2017'}
Turkish Republic of Northern Cyprus *;Central Bank of the Turkish Republic of Northern Cyprus;https://en.wikipedia.org/wiki/Central_Bank_of_the_Turkish_Republic_of_Northern_Cyprus;wikitable;Name Took office Left office Notes | Chairmen;data;{'Name': 'Rifat Günay', 'Took office': 'May 2018', 'Left office': 'Incumbent'};{'Name': 'Rifat Günay', 'Took office': 'May 2018', 'Left office': 'Incumbent'}
Czech Republic;Czech National Bank;https://en.wikipedia.org/wiki/Czech_National_Bank;infobox;Governor;data;{'Governor': 'Aleš Michl'};{'Governor': 'Aleš Michl'}
Djibouti;Central Bank of Djibouti;https://en.wikipedia.org/wiki/Central_Bank_of_Djibouti;infobox;Governor;data;{'Governor': 'Ahmed Osman Ali'};{'Governor': 'Ahmed Osman Ali'}
Dominica;Eastern Caribbean Central Bank;https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank;infobox;Governor;data;{'Governor': 'Timothy Antoine'};{'Governor': 'Timothy Antoine'}
Dominican Republic;Central Bank of the Dominican Republic;https://en.wikipedia.org/wiki/Central_Bank_of_the_Dominican_Republic;infobox;Governor;data;{'Governor': 'Héctor Valdez Albizu'};{'Governor': 'Héctor Valdez Albizu'}
Ecuador;Central Bank of Ecuador;https://en.wikipedia.org/wiki/Central_Bank_of_Ecuador;infobox;Key people;data;{'Key people': 'Guillermo Avellán Solines'};{'Key people': 'Guillermo Avellán Solines'}
Egypt;Central Bank of Egypt;https://en.wikipedia.org/wiki/Central_Bank_of_Egypt;wikitable;Name Took office Left office | List of governors;data;{'Name': 'Sir Elwin Palmer', 'Took office': 'August 1898', 'Left office': 'January 1906'};{'Name': 'Sir Elwin Palmer', 'Took office': 'August 1898', 'Left office': 'January 1906'}
Egypt;Central Bank of Egypt;https://en.wikipedia.org/wiki/Central_Bank_of_Egypt;wikitable;Name Took office Left office | List of governors;data;{'Name': 'Sir Frederick Rowlatt', 'Took office': 'June 1906', 'Left office': 'February 1921'};{'Name': 'Sir Frederick Rowlatt', 'Took office': 'June 1906', 'Left office': 'February 1921'}
Egypt;Central Bank of Egypt;https://en.wikipedia.org/wiki/Central_Bank_of_Egypt;wikitable;Name Took office Left office | List of governors;data;{'Name': 'Sir Bertram Hornsby', 'Took office': 'March 1921', 'Left office': 'February 1931'};{'Name': 'Sir Bertram Hornsby', 'Took office': 'March 1921', 'Left office': 'February 1931'}
Egypt;Central Bank of Egypt;https://en.wikipedia.org/wiki/Central_Bank_of_Egypt;wikitable;Name Took office Left office | List of governors;data;{'Name': 'Sir Edward Cook', 'Took office': 'March 1931', 'Left office': 'October 1940'};{'Name': 'Sir Edward Cook', 'Took office': 'March 1931', 'Left office': 'October 1940'}
Egypt;Central Bank of Egypt;https://en.wikipedia.org/wiki/Central_Bank_of_Egypt;wikitable;Name Took office Left office | List of governors;data;{'Name': 'Sir Norman Nixon', 'Took office': 'October 1940', 'Left office': 'April 1946'};{'Name': 'Sir Norman Nixon', 'Took office': 'October 1940', 'Left office': 'April 1946'}
Egypt;Central Bank of Egypt;https://en.wikipedia.org/wiki/Central_Bank_of_Egypt;wikitable;Name Took office Left office | List of governors;data;{'Name': 'Sir Frederick Leith-Ross', 'Took office': 'May 1946', 'Left office': 'April 1951'};{'Name': 'Sir Frederick Leith-Ross', 'Took office': 'May 1946', 'Left office': 'April 1951'}
Egypt;Central Bank of Egypt;https://en.wikipedia.org/wiki/Central_Bank_of_Egypt;wikitable;Name Took office Left office | List of governors;data;{'Name': 'Ahmed Zaki Saad', 'Took office': 'May 1951', 'Left office': 'April 1952'};{'Name': 'Ahmed Zaki Saad', 'Took office': 'May 1951', 'Left office': 'April 1952'}
Egypt;Central Bank of Egypt;https://en.wikipedia.org/wiki/Central_Bank_of_Egypt;wikitable;Name Took office Left office | List of governors;data;{'Name': 'Mohamed Fekry', 'Took office': 'May 1952', 'Left office': 'March 1955'};{'Name': 'Mohamed Fekry', 'Took office': 'May 1952', 'Left office': 'March 1955'}
